Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Bike Cadence,Max Bike Cadence,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Total Strokes,Avg. Swolf,Avg Stroke Rate,Steps,Total Reps,Total Sets,Body Battery Drain,Decompression,Best Lap Time,Number of Laps,Avg Resp,Min Resp,Max Resp,Stress Change,Stress Start,Stress End,Avg Stress,Max Stress,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Other,2025-12-17 11:41:13,false,"Weight lift - legs","0.03","258","00:43:37","116","153","2.0","14","150","0.0","3.2","--","7","0.14","--","--","--","--","--","0.0","--","--","--","--","--","338","--","--","-4","No","00:00:11.3","44","--","--","--","--","--","--","--","--","00:00:46","00:43:37","708","720"
HIIT,2025-12-16 11:40:22,false,"Hyrox","0.00","433","00:36:54","165","190","4.1","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","16","8","1","-6","No","00:36:54","1","--","--","--","--","--","--","--","--","00:36:54","00:36:54","--","--"
Other,2025-12-15 11:41:07,false,"Weight lift - chest and biceps","0.04","219","00:38:13","113","149","1.2","13","240","0.1","4.9","--","--","0.00","--","--","--","--","--","0.0","--","--","--","--","--","382","--","--","-2","No","00:00:15.7","44","--","--","--","--","--","--","--","--","00:01:04","00:38:13","694","724"
Other,2025-12-12 17:48:52,false,"Weight lift - back and triceps","0.00","253","00:41:05","119","150","1.9","9","156","--","--","--","--","0.00","--","--","--","--","--","0.0","--","--","--","--","--","590","--","--","-2","No","00:00:22.8","43","--","--","--","--","--","--","--","--","00:00:00","00:41:05","732","751"
HIIT,2025-12-11 15:16:33,false,"Hyrox","0.00","413","00:37:54","158","189","3.7","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","16","8","1","-6","No","00:37:54","1","--","--","--","--","--","--","--","--","00:37:54","00:37:54","--","--"
Other,2025-12-10 16:50:37,false,"Weight lift - legs","0.00","314","00:50:17","119","155","2.1","11","160","--","--","--","--","0.00","--","--","--","--","--","0.0","--","--","--","--","--","474","--","--","-3","No","00:00:14.6","46","--","--","--","--","--","--","--","--","00:00:00","00:50:17","677","712"
HIIT,2025-12-09 11:41:10,false,"Hyrox","0.00","355","00:36:49","144","185","3.1","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","14","7","1","-5","No","00:36:49","1","--","--","--","--","--","--","--","--","00:36:49","00:36:49","--","--"
Other,2025-12-08 12:31:18,false,"Weight lift - chest and biceps","0.00","281","00:46:14","118","155","2.0","18","207","--","--","--","--","0.00","--","--","--","--","--","0.0","--","--","--","--","--","910","--","--","-4","No","00:00:09.2","57","--","--","--","--","--","--","--","--","00:00:00","00:46:20","761","771"
HIIT,2025-12-04 12:09:40,false,"Hyrox","0.00","376","00:37:46","149","176","3.3","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","36","18","1","-6","No","00:37:46","1","--","--","--","--","--","--","--","--","00:37:46","00:37:46","--","--"
Other,2025-12-04 06:24:23,false,"Weight lift - lunge and legs","0.00","326","01:05:24","112","142","1.4","15","176","--","--","--","--","0.00","--","--","--","--","--","0.0","--","--","--","--","--","1,172","--","--","-5","No","00:00:26.5","55","--","--","--","--","--","--","--","--","00:00:00","01:05:24","718","745"
HIIT,2025-12-03 11:49:03,false,"Hyrox","0.00","370","00:34:00","156","181","3.6","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","14","7","1","-7","No","00:34:00","1","--","--","--","--","--","--","--","--","00:34:00","00:34:00","--","--"
Other,2025-12-03 06:11:40,false,"Weight lift - back and triceps","0.00","291","00:46:39","120","144","2.0","13","220","--","--","--","--","0.00","--","--","--","--","--","0.0","--","--","--","--","--","536","--","--","-5","No","00:00:02.7","58","--","--","--","--","--","--","--","--","00:00:00","00:46:43","753","774"
HIIT,2025-12-02 11:50:26,false,"Hyrox","0.00","389","00:35:26","158","187","3.7","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","76","38","1","-7","No","00:35:26","1","--","--","--","--","--","--","--","--","00:35:20","00:35:53","--","--"
Other,2025-12-02 06:15:43,false,"Weight lift - squat and legs","0.00","332","00:57:46","118","155","2.3","18","158","--","--","--","--","0.00","--","--","--","--","--","0.0","--","--","--","--","--","934","--","--","-8","No","00:00:28.2","56","--","--","--","--","--","--","--","--","00:00:00","00:57:46","745","776"
Indoor Cycling,2025-12-01 19:34:10,false,"Bike","0.00","236","00:28:37","132","157","2.1","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","-2","No","00:28:37","1","--","--","--","--","--","--","--","--","00:00:00","00:28:37","--","--"
Other,2025-12-01 18:44:31,false,"Weight lift - chest and biceps","0.00","224","00:31:21","124","146","2.0","21","155","--","--","--","--","0.00","--","--","--","--","--","0.0","--","--","--","--","--","540","--","--","-2","No","00:00:14.3","49","--","--","--","--","--","--","--","--","00:00:00","00:31:25","645","674"
Other,2025-12-01 11:50:42,false,"Hyrox","0.40","394","00:45:44","138","169","2.9","31","156","0.5","2.6","30","--","1.20","--","--","--","--","--","0.0","--","--","--","--","--","1,742","--","--","-7","No","00:01:01.8","14","--","--","--","--","--","--","--","--","00:14:57","00:45:44","720","751"
Strength Training,2025-11-26 06:06:18,false,"Weight lift - shoulders and legs","0.00","218","00:41:42","110","148","1.2","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","142","138","20","-2","No","00:41:42","1","--","--","--","--","--","--","--","--","00:12:15","00:41:42","--","--"
Strength Training,2025-11-25 06:02:23,false,"Weight lift - chest and biceps","0.00","254","00:45:55","115","174","2.0","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","198","99","20","-6","No","00:45:55","1","--","--","--","--","--","--","--","--","00:11:53","00:45:55","--","--"
Strength Training,2025-11-24 05:57:32,false,"Weight lift - shoulders and legs","0.00","224","00:38:17","115","156","1.4","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","160","138","20","-2","No","00:38:17","1","--","--","--","--","--","--","--","--","00:11:10","00:38:17","--","--"
Strength Training,2025-11-21 06:10:27,false,"Weight lift - full body","0.00","281","00:55:31","111","153","1.7","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","208","129","22","-6","No","00:55:31","1","--","--","--","--","--","--","--","--","00:14:20","00:55:31","--","--"
Strength Training,2025-11-20 07:03:00,false,"Weight lift - back and triceps","0.00","156","00:44:43","92","138","0.3","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","250","99","20","-2","No","00:44:43","1","--","--","--","--","--","--","--","--","00:14:16","00:44:43","--","--"
Strength Training,2025-11-19 06:06:33,false,"Weight lift - shoulders and legs","0.00","178","00:40:51","101","148","0.6","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","130","132","20","-6","No","00:40:51","1","--","--","--","--","--","--","--","--","00:12:38","00:40:51","--","--"
Pool Swim,2025-11-18 18:43:46,false,"Evening swim","375","153","00:17:43","125","142","2.0","--","--","2:29","0:48","--","--","--","--","--","--","--","--","0.0","--","--","260","54","28","--","--","--","--","No","00:00:07.0","17","--","--","--","--","--","--","--","--","00:09:17.2","00:17:48","--","--"
Other,2025-11-18 18:06:09,false,"Core and abs - walls","0.01","100","00:23:42","98","120","0.3","33","158","0.0","3.0","--","--","0.00","--","--","--","--","--","0.0","--","--","--","--","--","498","--","--","-1","No","00:00:06.2","36","--","--","--","--","--","--","--","--","00:00:19","00:23:42","579","593"
Strength Training,2025-11-18 06:00:40,false,"Weight lift - chest and biceps","0.00","185","00:41:15","103","138","0.7","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","246","120","20","-5","No","00:41:15","1","--","--","--","--","--","--","--","--","00:11:57","00:41:15","--","--"
